CONTROL,PER,REGION,METRO3,VALUE,ZINC2,ROOMS,ZADEQ,UTILITY,FMTZADEQ
'299577808881',2,'3','3',206000,377438,7,'1',386.3333333,1 Adequate
'500655700149',2,'3','2',250000,377438,9,'1',483,1 Adequate
'459929740149',3,'4','1',175000,376994,8,'1',684,1 Adequate
'402196310147',2,'3','2',225000,376164,6,'1',242,1 Adequate
'499239970440',2,'4','1',240000,375986,5,'1',365.3333333,1 Adequate
'689536320144',3,'3','1',1000000,375964,8,'1',414.3333333,1 Adequate
'500903120142',2,'1','2',800000,374964,8,'1',634,1 Adequate
'602477180146',4,'2','1',350000,374964,11,'1',385,1 Adequate
'304092520142',2,'3','2',144000,374024,7,'1',203,1 Adequate
'300107130103',3,'3','2',167000,373979,9,'1',210,1 Adequate
'590502830133',3,'2','3',300000,373364,11,'1',475.5,1 Adequate
'299124798280',3,'2','3',375000,372964,10,'1',777.4166667,1 Adequate
'493206430133',4,'1','2',350000,372964,8,'1',268.6666667,1 Adequate
'735410830140',2,'4','2',950000,372538,11,'1',651.4166667,1 Adequate
'737890390141',3,'4','2',600000,372438,12,'1',337.25,1 Adequate
'184502790140',7,'2','2',200000,371964,14,'1',489,1 Adequate
'307649140147',3,'3','3',500000,371913,11,'1',908.8333333,1 Adequate
'202336730133',2,'2','3',333000,371464,8,'1',296.9166667,1 Adequate
'699607710240',1,'3','5',400000,371416,10,'1',235.5833333,1 Adequate
'736150810142',5,'2','1',575000,370964,8,'1',402,1 Adequate
'730311860140',7,'2','1',380000,369964,8,'1',277.4166667,1 Adequate
'185778960142',4,'4','2',500000,369707,6,'1',364,1 Adequate
'200169630103',2,'4','1',700000,369365,6,'1',208,1 Adequate
'743846050148',4,'3','3',400000,369070,10,'1',445,1 Adequate
'730053220149',3,'1','1',2465647,368638,6,'1',114,1 Adequate
'299585900240',5,'1','5',350000,368438,5,'1',478,1 Adequate
'730471460142',2,'2','2',80000,368368,6,'1',191.0833333,1 Adequate
'277336830133',2,'2','2',650000,367964,8,'1',253.3333333,1 Adequate
'300963230103',6,'4','1',1100000,367964,11,'1',558,1 Adequate
'732216380149',2,'3','3',300000,367964,6,'1',324,1 Adequate
'100029230103',2,'3','2',525000,367964,8,'1',333.6666667,1 Adequate
'730479280449',4,'1','2',350000,367964,7,'1',365.3333333,1 Adequate
'735512950149',4,'3','2',900000,367964,9,'1',519.3333333,1 Adequate
'300502930203',4,'2','2',550000,367814,13,'1',549.1666667,1 Adequate
'730381630141',2,'3','1',900000,367438,8,'1',441,1 Adequate
'102319130103',4,'3','2',750000,366764,8,'1',806,1 Adequate
'301319130103',2,'3','2',400000,365964,6,'1',124.6666667,1 Adequate
'730753860147',1,'3','3',630000,365464,11,'1',223.8333333,1 Adequate
'585926380145',4,'2','2',600000,365438,8,'1',287.6666667,1 Adequate
'602250540141',4,'3','2',400000,365109,10,'1',154.6666667,1 Adequate
'597502830133',2,'2','2',260000,364964,10,'1',483.5,1 Adequate
'730635170141',2,'3','5',250000,364964,8,'1',321,1 Adequate
'392489230133',4,'1','3',550000,364474,8,'1',617.8333333,1 Adequate
'730616490143',2,'2','3',165000,364224,6,'1',233.1666667,1 Adequate
'483550720145',5,'1','2',200000,363712,7,'1',342.6666667,1 Adequate
'484903500145',5,'1','2',450000,363564,8,'1',458,1 Adequate
'200565130103',2,'1','2',465000,362964,10,'1',123,1 Adequate
'401583130133',5,'1','2',400000,362964,8,'1',276.8333333,1 Adequate
'402502130133',5,'2','2',1000000,362964,11,'1',1046.333333,1 Adequate
'600583730133',3,'1','2',699000,362964,9,'1',927.6666667,1 Adequate
'600849530103',2,'3','2',670000,362964,7,'1',368,1 Adequate
'730942310245',2,'3','5',2465647,362964,9,'1',390,1 Adequate
'732174030141',2,'1','3',1000000,362964,6,'1',544,1 Adequate
'100898940141',2,'2','3',280000,362568,9,'1',336,1 Adequate
'100424130103',2,'4','5',526000,362438,7,'1',163,1 Adequate
'730827040146',2,'3','1',500000,362438,8,'1',620.6666667,1 Adequate
'689130120141',4,'1','1',2465647,362112,9,'1',559.6666667,1 Adequate
'100359130103',5,'1','2',2465647,361964,9,'1',150,1 Adequate
'248150740142',4,'2','2',790000,361964,10,'1',285,1 Adequate
'500284130103',2,'2','2',90000,361964,5,'1',194.8333333,1 Adequate
'699619870346',5,'3','3',900000,361464,11,'1',541.6666667,1 Adequate
'287357100141',2,'2','2',450000,360938,7,'1',409.1666667,1 Adequate
'742558700142',4,'3','2',700000,359964,11,'1',736.9166667,1 Adequate
'730194500145',4,'4','2',550000,359364,10,'1',264,1 Adequate
'184502130149',4,'2','2',450000,358964,8,'1',524.5833333,1 Adequate
'187515920142',3,'3','2',1300000,358964,10,'1',598,1 Adequate
'486206930140',3,'1','2',450000,358814,5,'1',455.4166667,1 Adequate
'289850520140',3,'4','2',1200000,358764,6,'1',193.3333333,1 Adequate
'289583530133',4,'1','2',40000,358714,10,'1',314,1 Adequate
'679818790142',4,'4','1',700000,358638,8,'1',368,1 Adequate
'491336530133',3,'2','2',850000,358464,11,'1',364,1 Adequate
'692596330133',2,'2','1',1000000,358264,6,'1',174,1 Adequate
'685129900143',4,'4','2',1000000,358024,7,'1',242.25,1 Adequate
'499572600449',3,'1','3',350000,357964,8,'1',322,1 Adequate
'565502530133',3,'2','2',175000,357964,8,'1',402,1 Adequate
'600655230103',2,'3','2',480000,357964,7,'1',445.6666667,1 Adequate
'299612940348',5,'4','5',40000,357438,11,'1',456.6666667,1 Adequate
'699074908589',3,'3','3',250000,357438,7,'1',215.6666667,1 Adequate
'401654100143',4,'4','2',1200000,357438,9,'1',186.3333333,1 Adequate
'589596530133',3,'2','1',350000,357438,8,'1',296.4166667,1 Adequate
'186150750145',5,'2','2',1200000,356364,13,'1',537,1 Adequate
'731988180149',2,'2','3',500000,356313,13,'1',179.0833333,1 Adequate
'399619819486',4,'3','3',160000,355964,6,'1',183,1 Adequate
'681670960147',4,'4','2',1300000,355964,10,'1',730,1 Adequate
'731311220146',4,'2','1',325000,355964,10,'1',249.3333333,1 Adequate
'687622720144',4,'3','2',460000,355784,9,'1',296.1666667,1 Adequate
'683452160140',4,'1','1',425000,355624,6,'1',423.8333333,1 Adequate
'676452940243',4,'1','1',300000,355124,5,'1',314,1 Adequate
'599615790443',2,'3','5',130000,354964,10,'1',141,1 Adequate
'216369150141',2,'3','3',198000,354964,7,'1',206,1 Adequate
'388206320143',1,'1','2',700000,354964,7,'1',553.0833333,1 Adequate
'489102530140',2,'2','4',275000,354964,9,'1',229.1666667,1 Adequate
'593583430133',5,'1','2',1000000,354964,9,'1',990.5833333,1 Adequate
'299319808980',2,'3','3',180000,354630,6,'1',326.6666667,1 Adequate
'100925300142',6,'1','3',325000,354172,9,'1',437.5833333,1 Adequate
'733872050144',2,'4','2',2465647,353964,6,'1',356,1 Adequate
'401169990140',4,'4','3',2465647,353064,13,'1',264,1 Adequate
'300319830103',4,'3','2',150000,353064,9,'1',421.8333333,1 Adequate
'181583930133',4,'1','2',750000,353014,9,'1',695,1 Adequate
'100583630133',2,'1','2',425000,352964,7,'1',349,1 Adequate
'101387700144',2,'4','1',200000,352964,5,'1',228,1 Adequate
'300596530133',2,'2','1',2465647,352964,13,'1',1029.666667,1 Adequate
'300941330103',2,'4','2',2465647,352964,13,'1',416.3333333,1 Adequate
'485903940142',5,'1','2',599000,352964,9,'1',1178.416667,1 Adequate
'500944130103',7,'3','2',1300000,352374,14,'1',773,1 Adequate
'204730930147',3,'4','1',400000,352238,7,'1',344.5,1 Adequate
'400168130103',4,'3','2',300000,352004,8,'1',284.5,1 Adequate
'734809540142',4,'4','2',280000,351664,8,'1',487.5,1 Adequate
'300839630103',3,'3','1',850000,351200,10,'1',286.3333333,1 Adequate
'300890100141',2,'4','1',495000,350964,10,'1',178.6666667,1 Adequate
'731438910143',5,'3','3',110000,350964,8,'1',320,1 Adequate
'105029120143',2,'3','2',850000,350958,10,'1',626.4166667,1 Adequate
'742357350141',4,'2','3',600000,350700,10,'1',225.6666667,1 Adequate
'188944360146',4,'3','2',850000,350214,11,'1',524.6666667,1 Adequate
'288878640143',9,'2','1',350000,350000,11,'1',324,1 Adequate
